RecvTime,oldRecvTime,SendTime,oldSendTime
9433389,9433389,9232341,9216629
9433471,9433389,9232357,9232341
9433487,9433471,9232374,9232357
9433487,9433487,9232390,9232374
9433504,9433487,9232390,9232390
9433520,9433504,9232407,9232390
9433520,9433520,9232439,9232407
9433537,9433520,9247873,9232439
9433553,9433537,9264306,9247873
9433553,9433553,9264339,9264306
9433569,9433553,9264339,9264339
9433586,9433569,9264355,9264339
9433602,9433586,9264372,9264355
9433602,9433602,9264372,9264372
9433618,9433602,9264404,9264372
9433618,9433618,9281804,9264404
9433635,9433618,9296271,9281804
9433651,9433635,9296288,9296271
9433668,9433651,9296304,9296288
9433668,9433668,9296321,9296304
9433684,9433668,9296370,9296321
9433700,9433684,9296419,9296370
9433700,9433700,9296452,9296419
9433717,9433700,9318455,9296452
9433733,9433717,9328335,9318455
9433733,9433733,9328368,9328335
9433750,9433733,9328384,9328368
9433766,9433750,9328400,9328384
9433766,9433766,9328433,9328400
9433782,9433766,9328450,9328433
9433782,9433782,9328482,9328450
9433782,9433782,9349732,9328482
9433799,9433782,9364331,9349732
9433799,9433799,9364363,9364331
9433815,9433799,9364380,9364363
9433815,9433815,9364396,9364380
9433815,9433815,9364429,9364396
9433831,9433815,9364445,9364429
9433831,9433831,9364462,9364445
9433848,9433831,9382599,9364462
9433848,9433848,9396345,9382599
9433848,9433848,9396394,9396345
9433864,9433848,9396460,9396394
9433864,9433864,9396476,9396460
9433881,9433864,9396509,9396476
9433881,9433881,9396525,9396509
9433881,9433881,9396541,9396525
9433897,9433881,9423608,9396541
9433897,9433897,9428343,9423608
9433913,9433897,9428441,9428343
9433913,9433913,9428474,9428441
9433930,9433913,9428523,9428474
9433930,9433930,9428556,9428523
9433930,9433930,9428589,9428556
9433946,9433930,9428621,9428589
9464617,9433946,9454852,9428621
9464764,9464617,9464338,9454852
9464781,9464764,9464371,9464338
9464797,9464781,9464388,9464371
9464797,9464797,9464388,9464388
9464814,9464797,9464437,9464388
9464814,9464814,9464453,9464437
9464830,9464814,9464470,9464453
9496648,9464830,9483360,9464470
9496680,9496648,9496369,9483360
9496713,9496680,9496386,9496369
9496713,9496713,9496402,9496386
9496730,9496713,9496418,9496402
9496746,9496730,9496467,9496418
9496762,9496746,9496500,9496467
9496795,9496762,9496517,9496500
9528564,9496795,9515080,9496517
9528580,9528564,9528318,9515080
9528596,9528580,9528334,9528318
9528596,9528596,9528351,9528334
9528596,9528596,9528367,9528351
9528678,9528596,9528416,9528367
9528695,9528678,9528433,9528416
9528695,9528695,9528449,9528433
9560611,9528695,9550387,9528449
9560644,9560611,9560332,9550387
9560644,9560644,9560381,9560332
9560644,9560644,9560431,9560381
9560873,9560644,9560447,9560431
9560889,9560873,9560463,9560447
9560906,9560889,9560480,9560463
9560906,9560906,9560513,9560480
9596721,9560906,9584155,9560513
9596754,9596721,9596312,9584155
9596754,9596754,9596344,9596312
9596770,9596754,9596361,9596344
9596770,9596770,9596377,9596361
9596803,9596770,9596443,9596377
9596803,9596803,9596475,9596443
9596885,9596803,9596492,9596475
9628588,9596885,9614121,9596492
9628621,9628588,9628342,9614121
9628621,9628621,9628375,9628342
9628736,9628621,9628391,9628375
9628752,9628736,9628408,9628391
9628752,9628752,9628441,9628408
9628752,9628752,9628457,9628441
9628752,9628752,9628473,9628457
9660586,9628752,9651149,9628473
9660602,9660586,9660307,9651149
9660619,9660602,9660340,9660307
9660619,9660619,9660357,9660340
9660619,9660619,9660373,9660357
9660652,9660619,9660406,9660373
9660652,9660652,9660422,9660406
9660733,9660652,9660439,9660422
9696631,9660733,9682049,9660439
9696664,9696631,9696303,9682049
9696664,9696664,9696352,9696303
9696664,9696664,9696418,9696352
9696680,9696664,9696451,9696418
9696696,9696680,9696500,9696451
9696713,9696696,9696516,9696500
9696762,9696713,9696532,9696516
9728580,9696762,9715964,9696532
9728612,9728580,9728317,9715964
9728612,9728612,9728350,9728317
9728662,9728612,9728367,9728350
9728678,9728662,9728416,9728367
9728694,9728678,9728432,9728416
9728760,9728694,9728449,9728432
9728776,9728760,9728481,9728449
9760610,9728776,9747880,9728481
9760659,9760610,9760332,9747880
9760659,9760659,9760381,9760332
9760725,9760659,9760397,9760381
9760774,9760725,9760446,9760397
9760823,9760774,9760463,9760446
9760856,9760823,9760496,9760463
9760889,9760856,9760512,9760496
9792690,9760889,9786481,9760512
9792756,9792690,9792297,9786481
9792756,9792756,9792346,9792297
9792788,9792756,9792526,9792346
9792838,9792788,9792543,9792526
9792887,9792838,9792559,9792543
9792936,9792887,9792576,9792559
9792969,9792936,9792592,9792576
9828669,9792969,9815759,9792592
9828702,9828669,9828375,9815759
9828751,9828702,9828407,9828375
9828768,9828751,9828424,9828407
9828817,9828768,9828473,9828424
9828833,9828817,9828489,9828473
9828866,9828833,9828522,9828489
9828899,9828866,9828555,9828522
9860585,9828899,9847364,9828555
9860618,9860585,9860323,9847364
9860651,9860618,9860356,9860323
9860700,9860651,9860372,9860356
9860733,9860700,9860422,9860372
9860766,9860733,9860454,9860422
9860782,9860766,9860504,9860454
9860897,9860782,9860536,9860504
9892616,9860897,9883572,9860536
9892649,9892616,9892321,9883572
9892665,9892649,9892354,9892321
9892682,9892665,9892370,9892354
9892731,9892682,9892420,9892370
9892764,9892731,9892452,9892420
9892813,9892764,9892485,9892452
9892846,9892813,9892502,9892485
9928612,9892846,9916013,9892502
9928645,9928612,9928333,9916013
9928661,9928645,9928366,9928333
9928776,9928661,9928382,9928366
9928792,9928776,9928432,9928382
9928808,9928792,9928481,9928432
9928808,9928808,9928514,9928481
9928808,9928808,9928546,9928514
9960643,9928808,9948158,9928546
9960675,9960643,9960348,9948158
9960675,9960675,9960380,9960348
9960708,9960675,9960397,9960380
9960741,9960708,9960446,9960397
9960774,9960741,9960479,9960446
9960823,9960774,9960512,9960479
9960872,9960823,9960528,9960512
9992591,9960872,9981057,9960528
9992624,9992591,9992329,9981057
9992657,9992624,9992362,9992329
9992673,9992657,9992378,9992362
9992706,9992673,9992428,9992378
9992739,9992706,9992444,9992428
9992755,9992739,9992477,9992444
9992804,9992755,9992509,9992477
10024625,9992804,10015843,9992509
10024657,10024625,10024346,10015843
10024674,10024657,10024379,10024346
10024723,10024674,10024395,10024379
10024788,10024723,10024444,10024395
10024805,10024788,10024461,10024444
10024870,10024805,10024494,10024461
10024887,10024870,10024526,10024494
10060653,10024887,10050397,10024526
10060686,10060653,10060358,10050397
10060686,10060686,10060407,10060358
10060768,10060686,10060424,10060407
10060784,10060768,10060473,10060424
10060801,10060784,10060489,10060473
10060882,10060801,10060522,10060489
10060899,10060882,10060538,10060522
10092684,10060899,10081117,10060538
10092717,10092684,10092356,10081117
10092733,10092717,10092389,10092356
10092733,10092733,10092405,10092389
10092749,10092733,10092454,10092405
10093011,10092749,10092471,10092454
10093028,10093011,10092504,10092471
10093044,10093028,10092536,10092504
10124616,10093044,10116867,10092536
10124649,10124616,10124338,10116867
10124665,10124649,10124403,10124338
10124698,10124665,10124469,10124403
10124731,10124698,10124518,10124469
10124764,10124731,10124551,10124518
10124796,10124764,10124600,10124551
10124944,10124796,10124633,10124600
10160645,10124944,10148160,10124633
10160677,10160645,10160382,10148160
10160694,10160677,10160432,10160382
10160743,10160694,10160497,10160432
10160759,10160743,10160546,10160497
10160792,10160759,10160563,10160546
10160841,10160792,10160612,10160563
10160890,10160841,10160645,10160612
10192626,10160890,10181174,10160645
10192675,10192626,10192348,10181174
10192675,10192675,10192380,10192348
10192692,10192675,10192397,10192380
10192724,10192692,10192446,10192397
10192741,10192724,10192462,10192446
10192774,10192741,10192495,10192462
10192806,10192774,10192528,10192495
10224608,10192806,10213352,10192528
10224657,10224608,10224329,10213352
10224690,10224657,10224378,10224329
10224739,10224690,10224460,10224378
10224755,10224739,10224509,10224460
10224788,10224755,10224542,10224509
10224854,10224788,10224591,10224542
10224886,10224854,10224641,10224591
10256589,10224886,10251576,10224641
10256638,10256589,10256311,10251576
10256638,10256638,10256344,10256311
10256671,10256638,10256360,10256344
10256720,10256671,10256409,10256360
10256802,10256720,10256491,10256409
10256819,10256802,10256524,10256491
10256819,10256819,10256557,10256524
10292683,10256819,10281313,10256557
10292716,10292683,10292372,10281313
10292732,10292716,10292405,10292372
10292732,10292732,10292421,10292405
10292749,10292732,10292487,10292421
10292749,10292749,10292503,10292487
10292765,10292749,10292536,10292503
10292814,10292765,10292569,10292536
10324681,10292814,10315523,10292569
10324714,10324681,10324386,10315523
10324780,10324714,10324419,10324386
10324796,10324780,10324435,10324419
10324796,10324796,10324485,10324435
10324796,10324796,10324534,10324485
10324911,10324796,10324583,10324534
10324911,10324911,10324665,10324583
10356614,10324911,10349552,10324665
10356646,10356614,10356302,10349552
10356663,10356646,10356352,10356302
10356663,10356663,10356433,10356352
10356696,10356663,10356483,10356433
10356745,10356696,10356515,10356483
10356761,10356745,10356548,10356515
10356941,10356761,10356630,10356548
10392675,10356941,10382615,10356630
10392708,10392675,10392347,10382615
10392724,10392708,10392380,10392347
10392740,10392724,10392396,10392380
10392740,10392740,10392445,10392396
10392740,10392740,10392462,10392445
10392839,10392740,10392495,10392462
10392839,10392839,10392527,10392495
10424591,10392839,10413663,10392527
10424624,10424591,10424329,10413663
10424640,10424624,10424361,10424329
10424722,10424640,10424378,10424361
10424738,10424722,10424427,10424378
10424738,10424738,10424443,10424427
10424886,10424738,10424476,10424443
10424902,10424886,10424493,10424476
10456622,10424902,10447774,10424493
10456654,10456622,10456359,10447774
10456671,10456654,10456392,10456359
10456687,10456671,10456409,10456392
10456769,10456687,10456458,10456409
10456785,10456769,10456474,10456458
10456785,10456785,10456491,10456474
10456818,10456785,10456523,10456491
10488751,10456818,10480575,10456523
10488783,10488751,10488374,10480575
10488783,10488783,10488407,10488374
10488800,10488783,10488472,10488407
10488800,10488800,10488505,10488472
10488833,10488800,10488538,10488505
10488833,10488833,10488554,10488538
10488898,10488833,10488570,10488554
10524632,10488898,10512163,10488570
10524664,10524632,10524337,10512163
10524664,10524664,10524369,10524337
10524664,10524664,10524386,10524369
10524681,10524664,10524435,10524386
10524697,10524681,10524451,10524435
10524746,10524697,10524484,10524451
10524763,10524746,10524500,10524484
10556793,10524763,10542752,10524500
10556826,10556793,10556384,10542752
10556843,10556826,10556433,10556384
10556843,10556843,10556482,10556433
10556843,10556843,10556498,10556482
10556843,10556843,10556531,10556498
10556941,10556843,10556564,10556531
10556957,10556941,10556580,10556564
10588644,10556957,10579862,10556580
10588677,10588644,10588333,10579862
10588677,10588677,10588398,10588333
10588677,10588677,10588464,10588398
10588759,10588677,10588513,10588464
10588791,10588759,10588546,10588513
10588791,10588791,10588595,10588546
10588988,10588791,10588677,10588595
10624656,10588988,10611516,10588677
10624689,10624656,10624345,10611516
10624721,10624689,10624377,10624345
10624721,10624721,10624394,10624377
10624721,10624721,10624443,10624394
10624771,10624721,10624476,10624443
10624771,10624771,10624508,10624476
10624820,10624771,10624525,10624508
10656719,10624820,10643448,10624525
10656752,10656719,10656392,10643448
10656752,10656752,10656441,10656392
10656769,10656752,10656457,10656441
10656801,10656769,10656490,10656457
10656801,10656801,10656523,10656490
