RecvTime,RecvTimeHightBits,RecvTimeLowBits,oldRecvTime,oldRecvTimeHightBits,oldRecvTimeLowBits,SendTime,SendTimeHightBits,SendTimeLowBits,oldSendTime,oldSendTimeHightBits,oldSendTimeLowBits
31720977,31,720977920,31720977,31,720977920,31519995,31,519995392,31504545,31,504545280
31721027,31,721027072,31720977,31,720977920,31520011,31,520011776,31519995,31,519995392
31721043,31,721043456,31721027,31,721027072,31520028,31,520028160,31520011,31,520011776
31721043,31,721043456,31721043,31,721043456,31520028,31,520028160,31520028,31,520028160
31721059,31,721059840,31721043,31,721043456,31520060,31,520060928,31520028,31,520028160
31721059,31,721059840,31721059,31,721059840,31520077,31,520077312,31520060,31,520060928
31721076,31,721076224,31721059,31,721059840,31520093,31,520093696,31520077,31,520077312
31721076,31,721076224,31721076,31,721076224,31538869,31,538869760,31520093,31,520093696
31721092,31,721092608,31721076,31,721076224,31551993,31,551993344,31538869,31,538869760
31721108,31,721108992,31721092,31,721092608,31552009,31,552009728,31551993,31,551993344
31721108,31,721108992,31721108,31,721108992,31552026,31,552026112,31552009,31,552009728
31721125,31,721125376,31721108,31,721108992,31552026,31,552026112,31552026,31,552026112
31721125,31,721125376,31721125,31,721125376,31552042,31,552042496,31552026,31,552026112
31721141,31,721141760,31721125,31,721125376,31552042,31,552042496,31552042,31,552042496
31721158,31,721158144,31721141,31,721141760,31552042,31,552042496,31552042,31,552042496
31721158,31,721158144,31721158,31,721158144,31571064,31,571064320,31552042,31,552042496
31721174,31,721174528,31721158,31,721158144,31588087,31,588087296,31571064,31,571064320
31721174,31,721174528,31721174,31,721174528,31588120,31,588120064,31588087,31,588087296
31721190,31,721190912,31721174,31,721174528,31588120,31,588120064,31588120,31,588120064
31721190,31,721190912,31721190,31,721190912,31588136,31,588136448,31588120,31,588120064
31721190,31,721190912,31721190,31,721190912,31588152,31,588152832,31588136,31,588136448
31721207,31,721207296,31721190,31,721190912,31588152,31,588152832,31588152,31,588152832
31721223,31,721223680,31721207,31,721207296,31588169,31,588169216,31588152,31,588152832
31721223,31,721223680,31721223,31,721223680,31602701,31,602701824,31588169,31,588169216
31721240,31,721240064,31721223,31,721223680,31620052,31,620052480,31602701,31,602701824
31721240,31,721240064,31721240,31,721240064,31620085,31,620085248,31620052,31,620052480
31721256,31,721256448,31721240,31,721240064,31620085,31,620085248,31620085,31,620085248
31721256,31,721256448,31721256,31,721256448,31620101,31,620101632,31620085,31,620085248
31721272,31,721272832,31721256,31,721256448,31620118,31,620118016,31620101,31,620101632
31721272,31,721272832,31721272,31,721272832,31620118,31,620118016,31620118,31,620118016
31721289,31,721289216,31721272,31,721272832,31620134,31,620134400,31620118,31,620118016
31721289,31,721289216,31721289,31,721289216,31639336,31,639336448,31620134,31,620134400
31721305,31,721305600,31721289,31,721289216,31652001,31,652001280,31639336,31,639336448
31721305,31,721305600,31721305,31,721305600,31652017,31,652017664,31652001,31,652001280
31721321,31,721321984,31721305,31,721305600,31652034,31,652034048,31652017,31,652017664
31721338,31,721338368,31721321,31,721321984,31652050,31,652050432,31652034,31,652034048
31721338,31,721338368,31721338,31,721338368,31652050,31,652050432,31652050,31,652050432
31721354,31,721354752,31721338,31,721338368,31652066,31,652066816,31652050,31,652050432
31721354,31,721354752,31721354,31,721354752,31652099,31,652099584,31652066,31,652066816
31721371,31,721371136,31721354,31,721354752,31671940,31,671940608,31652099,31,652099584
31721387,31,721387520,31721371,31,721371136,31688078,31,688078848,31671940,31,671940608
31721387,31,721387520,31721387,31,721387520,31688111,31,688111616,31688078,31,688078848
31721403,31,721403904,31721387,31,721387520,31688128,31,688128000,31688111,31,688111616
31721403,31,721403904,31721403,31,721403904,31688128,31,688128000,31688128,31,688128000
31721420,31,721420288,31721403,31,721403904,31688144,31,688144384,31688128,31,688128000
31721436,31,721436672,31721420,31,721420288,31688177,31,688177152,31688144,31,688144384
31721436,31,721436672,31721436,31,721436672,31688193,31,688193536,31688177,31,688177152
31721436,31,721436672,31721436,31,721436672,31708116,31,708116480,31688193,31,688193536
31721453,31,721453056,31721436,31,721436672,31720093,31,720093184,31708116,31,708116480
31721453,31,721453056,31721453,31,721453056,31720125,31,720125952,31720093,31,720093184
31721453,31,721453056,31721453,31,721453056,31720207,31,720207872,31720125,31,720125952
31721469,31,721469440,31721453,31,721453056,31720257,31,720257024,31720207,31,720207872
31721469,31,721469440,31721469,31,721469440,31720289,31,720289792,31720257,31,720257024
31721469,31,721469440,31721469,31,721469440,31720338,31,720338944,31720289,31,720289792
