RecvTime,oldRecvTime,SendTime,oldSendTime
61190955,61190955,60953696,60953679
61190988,61190955,60953696,60953696
61190988,61190988,60953712,60953696
61190988,61190988,60953712,60953712
61190988,61190988,60953729,60953712
61190988,61190988,60953729,60953729
61191004,61190988,60971849,60953729
61191004,61191004,60989757,60971849
61191004,61191004,60989773,60989757
61191004,61191004,60989790,60989773
61191004,61191004,60989790,60989790
61191004,61191004,60989806,60989790
61191004,61191004,60989806,60989806
61191021,61191004,60989822,60989806
61191021,61191021,61005341,60989822
61191037,61191021,61021692,61005341
61191037,61191037,61021741,61021692
61191037,61191037,61021757,61021741
61191037,61191037,61021790,61021757
61191053,61191037,61021807,61021790
61191053,61191053,61021823,61021807
61191053,61191053,61021856,61021823
61191053,61191053,61051019,61021856
61191053,61191053,61053690,61051019
61191053,61191053,61053739,61053690
61191053,61191053,61053772,61053739
61191070,61191053,61053788,61053772
61191070,61191070,61053821,61053788
61191070,61191070,61053854,61053821
61191070,61191070,61053886,61053854
61191070,61191070,61081461,61053886
61191070,61191070,61089702,61081461
61191086,61191070,61089735,61089702
61191086,61191086,61089751,61089735
61191086,61191086,61089767,61089751
61191102,61191086,61089784,61089767
61191102,61191102,61089784,61089784
61191119,61191102,61089800,61089784
61191119,61191119,61105136,61089800
61191119,61191119,61121716,61105136
61191119,61191119,61121749,61121716
61191119,61191119,61121749,61121749
61191119,61191119,61121765,61121749
61191119,61191119,61121782,61121765
61191119,61191119,61121782,61121782
61191135,61191119,61121798,61121782
61191135,61191135,61137740,61121798
61191135,61191135,61153665,61137740
61191135,61191135,61153681,61153665
61191135,61191135,61153698,61153681
61191135,61191135,61153698,61153698
61191135,61191135,61153714,61153698
61191152,61191135,61153714,61153714
61191152,61191152,61153731,61153714
61191463,61191152,61173326,61153731
61222314,61191463,61185712,61173326
61222363,61222314,61185761,61185712
61222363,61222363,61185778,61185761
61222396,61222363,61185810,61185778
61222511,61222396,61185827,61185810
61222593,61222511,61185843,61185827
61222609,61222593,61185860,61185843
61254328,61222609,61203702,61185860
61254345,61254328,61221675,61203702
61254345,61254345,61221691,61221675
61254377,61254345,61221708,61221691
61254443,61254377,61221708,61221708
61254607,61254443,61221724,61221708
61255279,61254607,61221724,61221724
61257769,61255279,61221741,61221724
61263864,61257769,61235896,61221741
61286392,61263864,61253657,61235896
61286408,61286392,61253673,61253657
61286425,61286408,61253673,61253673
61286425,61286425,61253689,61253673
61286605,61286425,61253689,61253689
61287391,61286605,61253689,61253689
61288751,61287391,61253706,61253689
61323207,61288751,61271941,61253706
61323272,61323207,61285671,61271941
61323420,61323272,61285687,61285671
61323731,61323420,61285720,61285687
61323764,61323731,61285736,61285720
61324059,61323764,61285736,61285736
61324222,61324059,61285753,61285736
61324255,61324222,61285753,61285753
61331022,61324255,61306200,61285753
61355155,61331022,61321798,61306200
61355188,61355155,61321847,61321798
61355237,61355188,61321880,61321847
61355598,61355237,61321912,61321880
61355762,61355598,61321945,61321912
61355942,61355762,61321978,61321945
61357122,61355942,61322027,61321978
61387088,61357122,61344686,61322027
61387121,61387088,61353730,61344686
61387317,61387121,61353779,61353730
61387481,61387317,61353812,61353779
61387629,61387481,61353845,61353812
61387727,61387629,61353878,61353845
61387858,61387727,61353910,61353878
61389234,61387858,61353927,61353910
61419102,61389234,61376651,61353927
61419168,61419102,61385728,61376651
61419397,61419168,61385777,61385728
61419577,61419397,61385810,61385777
61419708,61419577,61385843,61385810
61419741,61419708,61385875,61385843
61419954,61419741,61385908,61385875
61422592,61419954,61386007,61385908
61425656,61422592,61413220,61386007
61454656,61425656,61417693,61413220
61454688,61454656,61417742,61417693
61454770,61454688,61417775,61417742
61454787,61454770,61417808,61417775
61454885,61454787,61417824,61417808
61454918,61454885,61417873,61417824
61455032,61454918,61417890,61417873
61486375,61455032,61441221,61417890
61486408,61486375,61453722,61441221
61486408,61486408,61453754,61453722
61486408,61486408,61453771,61453754
61486424,61486408,61453787,61453771
61486473,61486424,61453804,61453787
61488652,61486473,61453820,61453804
61489865,61488652,61453836,61453820
61496173,61489865,61471023,61453836
61518471,61496173,61485687,61471023
