RecvTime,oldRecvTime,SendTime,oldSendTime
46682409,46682393,46460505,46441073
46682475,46682409,46473006,46460505
46682491,46682475,46473022,46473006
46682491,46682491,46473038,46473022
46682508,46682491,46473038,46473038
46682508,46682508,46473055,46473038
46682524,46682508,46473055,46473055
46682524,46682524,46473055,46473055
46682541,46682524,46492257,46473055
46682541,46682541,46509050,46492257
46682557,46682541,46509067,46509050
46682573,46682557,46509083,46509067
46682573,46682573,46509083,46509083
46682573,46682573,46509100,46509083
46682590,46682573,46509100,46509100
46682590,46682590,46509116,46509100
46682590,46682590,46523517,46509116
46682606,46682590,46541081,46523517
46682606,46682606,46541097,46541081
46682606,46682606,46541114,46541097
46682622,46682606,46541114,46541114
46682622,46682622,46541130,46541114
46682622,46682622,46541130,46541130
46682622,46682622,46541147,46541130
46682639,46682622,46557547,46541147
46682639,46682639,46573030,46557547
46682639,46682639,46573063,46573030
46682655,46682639,46573079,46573063
46682655,46682655,46573095,46573079
46682655,46682655,46573095,46573095
46682672,46682655,46573112,46573095
46682672,46682672,46573128,46573112
46682672,46682672,46597934,46573128
46682672,46682672,46605061,46597934
46682688,46682672,46605093,46605061
46682688,46682688,46605126,46605093
46682688,46682688,46605159,46605126
46682704,46682688,46605175,46605159
46682704,46682704,46605208,46605175
46682704,46682704,46605224,46605208
46682721,46682704,46626851,46605224
46682737,46682721,46641089,46626851
46682737,46682737,46641122,46641089
46682737,46682737,46641155,46641122
46682754,46682737,46641171,46641155
46682754,46682754,46641187,46641171
46682754,46682754,46641204,46641187
46682770,46682754,46641220,46641204
46706035,46682770,46658489,46641220
46706232,46706035,46673071,46658489
46706248,46706232,46673103,46673071
46708476,46706248,46673120,46673103
46708509,46708476,46673136,46673120
46709722,46708509,46673153,46673136
46710983,46709722,46673169,46673153
46713916,46710983,46673185,46673169
46742129,46713916,46694812,46673185
46742162,46742129,46705036,46694812
46742342,46742162,46705085,46705036
46742391,46742342,46705101,46705085
46742539,46742391,46705118,46705101
46742686,46742539,46705134,46705118
46743096,46742686,46705150,46705134
46745799,46743096,46705167,46705150
46773734,46745799,46727171,46705167
46773750,46773734,46741130,46727171
46774864,46773750,46741179,46741130
46776601,46774864,46741195,46741179
46776634,46776601,46741212,46741195
46779190,46776634,46741228,46741212
46780566,46779190,46741261,46741228
46782221,46780566,46741277,46741261
46805797,46782221,46760397,46741277
46805847,46805797,46773062,46760397
46805847,46805847,46773079,46773062
46808697,46805847,46773079,46773079
46808714,46808697,46773095,46773079
46809730,46808714,46773095,46773095
46812613,46809730,46773111,46773095
46814333,46812613,46773111,46773111
46837926,46814333,46787595,46773111
46837943,46837926,46805044,46787595
46837959,46837943,46805060,46805044
46840744,46837959,46805076,46805060
46841662,46840744,46805076,46805076
46841744,46841662,46805076,46805076
46844513,46841744,46805093,46805076
46863797,46844513,46805109,46805093
46863830,46863797,46824950,46805109
46874168,46863830,46837042,46824950
46874201,46874168,46837074,46837042
46874315,46874201,46837091,46837074
46874381,46874315,46837107,46837091
46874561,46874381,46837124,46837107
46876773,46874561,46837124,46837124
46905953,46876773,46837140,46837124
46906002,46905953,46863911,46837140
