RecvTime,oldRecvTime,SendTime,oldSendTime
40399,40399,40166,40166
40399,40399,40166,40166
40399,40399,40166,40166
40399,40399,40166,40166
40399,40399,40166,40166
40399,40399,40166,40166
40399,40399,40180,40166
40399,40399,40198,40180
40399,40399,40198,40198
40399,40399,40198,40198
40399,40399,40198,40198
40399,40399,40198,40198
40399,40399,40198,40198
40399,40399,40198,40198
40399,40399,40212,40198
40399,40399,40230,40212
40399,40399,40230,40230
40399,40399,40230,40230
40399,40399,40230,40230
40399,40399,40230,40230
40399,40399,40230,40230
40399,40399,40230,40230
40399,40399,40248,40230
40399,40399,40262,40248
40399,40399,40262,40262
40399,40399,40262,40262
40399,40399,40262,40262
40399,40399,40262,40262
40399,40399,40262,40262
40399,40399,40262,40262
40399,40399,40283,40262
40399,40399,40298,40283
40399,40399,40298,40298
40399,40399,40298,40298
40399,40399,40298,40298
40399,40399,40298,40298
40399,40399,40298,40298
40399,40399,40298,40298
40399,40399,40325,40298
40399,40399,40330,40325
40399,40399,40330,40330
40399,40399,40330,40330
40399,40399,40330,40330
40399,40399,40330,40330
40399,40399,40330,40330
40399,40399,40330,40330
40399,40399,40348,40330
40399,40399,40362,40348
40399,40399,40362,40362
40399,40399,40362,40362
40399,40399,40362,40362
40399,40399,40362,40362
40399,40399,40362,40362
40399,40399,40362,40362
40431,40399,40381,40362
40436,40431,40398,40381
40436,40436,40398,40398
40436,40436,40398,40398
40436,40436,40398,40398
40436,40436,40398,40398
40436,40436,40398,40398
40437,40436,40398,40398
40437,40437,40413,40398
40462,40437,40430,40413
40462,40462,40430,40430
40462,40462,40430,40430
40463,40462,40430,40430
40463,40463,40430,40430
40463,40463,40430,40430
40463,40463,40430,40430
40494,40463,40449,40430
40494,40494,40462,40449
40494,40494,40462,40462
40494,40494,40462,40462
40494,40494,40462,40462
40495,40494,40462,40462
40495,40495,40462,40462
40495,40495,40462,40462
40530,40495,40480,40462
40530,40530,40494,40480
40530,40530,40494,40494
40530,40530,40494,40494
40531,40530,40494,40494
40531,40531,40494,40494
40531,40531,40494,40494
40531,40531,40494,40494
40562,40531,40512,40494
40563,40562,40530,40512
40563,40563,40530,40530
40563,40563,40530,40530
40563,40563,40530,40530
40563,40563,40530,40530
40563,40563,40530,40530
40563,40563,40530,40530
40563,40563,40546,40530
40594,40563,40562,40546
40595,40594,40562,40562
40595,40595,40562,40562
40595,40595,40562,40562
40595,40595,40562,40562
40595,40595,40562,40562
40595,40595,40562,40562
40630,40595,40581,40562
40630,40630,40594,40581
40630,40630,40594,40594
40630,40630,40594,40594
40630,40630,40594,40594
40630,40630,40594,40594
40631,40630,40594,40594
40631,40631,40594,40594
40663,40631,40612,40594
40663,40663,40630,40612
40663,40663,40630,40630
40663,40663,40630,40630
40663,40663,40630,40630
40664,40663,40630,40630
40664,40664,40630,40630
40664,40664,40630,40630
40664,40664,40648,40630
40695,40664,40662,40648
40695,40695,40662,40662
40696,40695,40662,40662
40696,40696,40662,40662
40696,40696,40662,40662
40696,40696,40662,40662
40696,40696,40662,40662
40727,40696,40687,40662
40727,40727,40694,40687
40727,40727,40694,40694
40727,40727,40694,40694
40728,40727,40694,40694
40728,40728,40694,40694
40728,40728,40694,40694
40728,40728,40694,40694
40763,40728,40722,40694
40763,40763,40726,40722
40763,40763,40726,40726
40763,40763,40726,40726
40763,40763,40726,40726
40764,40763,40726,40726
40764,40764,40726,40726
40764,40764,40726,40726
40765,40764,40754,40726
40795,40765,40762,40754
40795,40795,40762,40762
40795,40795,40762,40762
40796,40795,40762,40762
40796,40796,40762,40762
40796,40796,40762,40762
40796,40796,40762,40762
40827,40796,40787,40762
40827,40827,40794,40787
40827,40827,40794,40794
40827,40827,40794,40794
40828,40827,40794,40794
40828,40828,40794,40794
40828,40828,40794,40794
40828,40828,40794,40794
40864,40828,40822,40794
40864,40864,40826,40822
40864,40864,40826,40826
40864,40864,40826,40826
40864,40864,40826,40826
40864,40864,40826,40826
40864,40864,40826,40826
40865,40864,40826,40826
40865,40865,40855,40826
40895,40865,40862,40855
40895,40895,40862,40862
40895,40895,40862,40862
40895,40895,40862,40862
40895,40895,40862,40862
40896,40895,40862,40862
40896,40896,40862,40862
40926,40896,40886,40862
40926,40926,40894,40886
40926,40926,40894,40894
40926,40926,40894,40894
40926,40926,40894,40894
40927,40926,40894,40894
40927,40927,40894,40894
40927,40927,40894,40894
40958,40927,40910,40894
40958,40958,40926,40910
40958,40958,40926,40926
40958,40958,40926,40926
40958,40958,40926,40926
40959,40958,40926,40926
40959,40959,40926,40926
40959,40959,40926,40926
40994,40959,40944,40926
40994,40994,40958,40944
40994,40994,40958,40958
