RecvTime,oldRecvTime,SendTime,oldSendTime
22607420,22606519,22405504,22404766
22607502,22607420,22405585,22405504
22607502,22607502,22405635,22405585
22607518,22607502,22405700,22405635
22607518,22607518,22405815,22405700
22607535,22607518,22405880,22405815
22607535,22607535,22405929,22405880
22607551,22607535,22405995,22405929
22607551,22607551,22406044,22405995
22607567,22607551,22406126,22406044
22607567,22607567,22430702,22406126
22607584,22607567,22445759,22430702
22607584,22607584,22445857,22445759
22607584,22607584,22445906,22445857
22607600,22607584,22446021,22445906
22607600,22607600,22446087,22446021
22607617,22607600,22446136,22446087
22607617,22607617,22446201,22446136
22607633,22607617,22464961,22446201
22607633,22607633,22477659,22464961
22607633,22607633,22477691,22477659
22607649,22607633,22477724,22477691
22607649,22607649,22477724,22477724
22607666,22607649,22477757,22477724
22607666,22607666,22477790,22477757
22607666,22607666,22477806,22477790
22607682,22607666,22497876,22477806
22607682,22607682,22509640,22497876
22607698,22607682,22509673,22509640
22607698,22607698,22509706,22509673
22607698,22607698,22509722,22509706
22607715,22607698,22509739,22509722
22607715,22607715,22509755,22509739
22607731,22607715,22509771,22509755
22607731,22607731,22531070,22509771
22607731,22607731,22545718,22531070
22607748,22607731,22545751,22545718
22607748,22607748,22545767,22545751
22607764,22607748,22545816,22545767
22607764,22607764,22545832,22545816
22607764,22607764,22545849,22545832
22607780,22607764,22545865,22545849
22607780,22607780,22561283,22545865
22607797,22607780,22577683,22561283
22607797,22607797,22577732,22577683
22607797,22607797,22577765,22577732
22607813,22607797,22577781,22577765
22607813,22607813,22577798,22577781
22607830,22607813,22577814,22577798
22607830,22607830,22577814,22577814
22610041,22607830,22594296,22577814
22611106,22610041,22609648,22594296
22611532,22611106,22609681,22609648
22612204,22611532,22609697,22609681
22613318,22612204,22609714,22609697
22614334,22613318,22609714,22609714
22615383,22614334,22609730,22609714
22616448,22615383,22609746,22609730
22642121,22616448,22631144,22609746
22642777,22642121,22641679,22631144
22644005,22642777,22641712,22641679
22644890,22644005,22641744,22641712
22645627,22644890,22641777,22641744
22646643,22645627,22641794,22641777
22647888,22646643,22641810,22641794
22649084,22647888,22641826,22641810
22678019,22649084,22661258,22641826
22678854,22678019,22677642,22661258
22680067,22678854,22677658,22677642
22680984,22680067,22677675,22677658
22681803,22680984,22677675,22677675
22682770,22681803,22677691,22677675
22684244,22682770,22677691,22677691
22685555,22684244,22677724,22677691
22710033,22685555,22692568,22677724
22711000,22710033,22709640,22692568
22712015,22711000,22709656,22709640
22712916,22712015,22709656,22709656
22713801,22712916,22709672,22709656
22714768,22713801,22709672,22709672
22716095,22714768,22709689,22709672
22717520,22716095,22709689,22709689
22742146,22717520,22728072,22709689
22743145,22742146,22741703,22728072
22744325,22743145,22741736,22741703
22745275,22744325,22741752,22741736
22746422,22745275,22741752,22741752
22747601,22746422,22741752,22741752
22749223,22747601,22741769,22741752
22750469,22749223,22741769,22741769
22778059,22750469,22759398,22741769
22779059,22778059,22777732,22759398
22780140,22779059,22777764,22777732
22781238,22780140,22777764,22777764
22782336,22781238,22777781,22777764
22783466,22782336,22777781,22777781
22784891,22783466,22777781,22777781
22786104,22784891,22777797,22777781
22809992,22786104,22793329,22777797
22810926,22809992,22809615,22793329
22812220,22810926,22809631,22809615
22813236,22812220,22809648,22809631
22814235,22813236,22809648,22809648
22815284,22814235,22809664,22809648
22816644,22815284,22809664,22809664
22817905,22816644,22809664,22809664
22842006,22817905,22826228,22809664
22843038,22842006,22841596,22826228
22844496,22843038,22841613,22841596
22845676,22844496,22841629,22841613
22846970,22845676,22841629,22841629
22848347,22846970,22841646,22841629
22849936,22848347,22841646,22841646
22851558,22849936,22841662,22841646
22873971,22851558,22860536,22841662
22875069,22873971,22873611,22860536
22876232,22875069,22873627,22873611
22877264,22876232,22873627,22873627
22878329,22877264,22873644,22873627
22879607,22878329,22873644,22873644
22881164,22879607,22873660,22873644
22882622,22881164,22873660,22873660
22910131,22882622,22892583,22873660
22911540,22910131,22909688,22892583
22912670,22911540,22909705,22909688
22913440,22912670,22909721,22909705
22914374,22913440,22909737,22909721
22915685,22914374,22909737,22909737
22917323,22915685,22909754,22909737
22918749,22917323,22909754,22909754
22941981,22918749,22924368,22909754
22943079,22941981,22941637,22924368
22944324,22943079,22941654,22941637
22945340,22944324,22941670,22941654
22946388,22945340,22941670,22941670
22947634,22946388,22941686,22941670
22948977,22947634,22941686,22941686
22950140,22948977,22941703,22941686
22973979,22950140,22960528,22941703
22975011,22973979,22973619,22960528
22976207,22975011,22973635,22973619
22977174,22976207,22973651,22973635
22978288,22977174,22973651,22973651
22979582,22978288,22973668,22973651
22981008,22979582,22973684,22973668
22982417,22981008,22973684,22973684
23010043,22982417,22992444,22973684
23011206,23010043,23009666,22992444
23012550,23011206,23009682,23009666
23013549,23012550,23009699,23009682
23014680,23013549,23009699,23009699
23015958,23014680,23009715,23009699
23017481,23015958,23009715,23009715
23018743,23017481,23009732,23009715
23042090,23018743,23027705,23009732
23043417,23042090,23041680,23027705
23044777,23043417,23041697,23041680
23045760,23044777,23041713,23041697
23046710,23045760,23041713,23041713
23047939,23046710,23041730,23041713
23049479,23047939,23041746,23041730
23050937,23049479,23041746,23041746
23073990,23050937,23056246,23041746
23074940,23073990,23073629,23056246
23076201,23074940,23073646,23073629
23077185,23076201,23073662,23073646
23078020,23077185,23073662,23073662
23079134,23078020,23073678,23073662
23080494,23079134,23073678,23073678
23081821,23080494,23073695,23073678
23105988,23081821,23093945,23073695
23107266,23105988,23105594,23093945
23108806,23107266,23105627,23105594
23110051,23108806,23105644,23105627
23111214,23110051,23105660,23105644
23112689,23111214,23105676,23105660
23114114,23112689,23105693,23105676
23115720,23114114,23105693,23105693
23142098,23115720,23126468,23105693
23143409,23142098,23141672,23126468
23144654,23143409,23141721,23141672
23145719,23144654,23141737,23141721
23146718,23145719,23141737,23141737
23147980,23146718,23141754,23141737
23149471,23147980,23141770,23141754
23150847,23149471,23141787,23141770
23174260,23150847,23162578,23141787
23175554,23174260,23173670,23162578
23177012,23175554,23173719,23173670
23178176,23177012,23173768,23173719
23179240,23178176,23173801,23173768
23180469,23179240,23173850,23173801
23181846,23180469,23173916,23173850
23183336,23181846,23173965,23173916
23206028,23183336,23197165,23173965
23207568,23206028,23205668,23197165
23208846,23207568,23205717,23205668
23209960,23208846,23205733,23205717
23210812,23209960,23205750,23205733
23212008,23210812,23205766,23205750
23213352,23212008,23205799,23205766
23214745,23213352,23205815,23205799
23242155,23214745,23230031,23205815
23243515,23242155,23241680,23230031
23244760,23243515,23241729,23241680
23245989,23244760,23241745,23241729
23247201,23245989,23241762,23241745
23248233,23247201,23241778,23241762
23249528,23248233,23241811,23241778
23251232,23249528,23241827,23241811
23274251,23251232,23261554,23241827
23275693,23274251,23273727,23261554
23277266,23275693,23273760,23273727
23278249,23277266,23273793,23273760
23279216,23278249,23273809,23273793
23280084,23279216,23273825,23273809
23281231,23280084,23273842,23273825
23282591,23281231,23273858,23273842
23306249,23282591,23293158,23273858
23307396,23306249,23305725,23293158
23308658,23307396,23305807,23305725
23309706,23308658,23305840,23305807
23310804,23309706,23305889,23305840
23311934,23310804,23305922,23305889
23313458,23311934,23306003,23305922
23314802,23313458,23306036,23306003
23338182,23314802,23330268,23306036
23339640,23338182,23337707,23330268
23341164,23339640,23337739,23337707
