RecvTime,oldRecvTime,SendTime,oldSendTime
36301613,36301613,36100286,36083247
36301678,36301613,36100302,36100286
36301694,36301678,36100302,36100302
36301711,36301694,36100319,36100302
36301711,36301711,36100319,36100319
36301727,36301711,36100319,36100319
36301744,36301727,36100335,36100319
36301760,36301744,36114720,36100335
36301760,36301760,36132284,36114720
36301776,36301760,36132317,36132284
36301776,36301776,36132333,36132317
36301793,36301776,36132349,36132333
36301793,36301793,36132349,36132349
36301809,36301793,36132382,36132349
36301809,36301809,36132382,36132382
36301826,36301809,36150618,36132382
36301842,36301826,36164265,36150618
36301842,36301842,36164298,36164265
36301858,36301842,36164298,36164298
36301858,36301858,36164298,36164298
36301875,36301858,36164331,36164298
36301891,36301875,36164331,36164331
36301891,36301891,36164347,36164331
36301907,36301891,36182927,36164347
36301907,36301907,36200310,36182927
36301907,36301907,36200327,36200310
36301924,36301907,36200343,36200327
36301924,36301924,36200359,36200343
36301940,36301924,36200359,36200359
36301940,36301940,36200376,36200359
36301957,36301940,36200376,36200376
36301957,36301957,36217333,36200376
36301973,36301957,36232390,36217333
36301973,36301973,36232456,36232390
36301989,36301973,36232538,36232456
36301989,36301989,36232570,36232538
36302006,36301989,36232603,36232570
36302022,36302006,36232652,36232603
36302039,36302022,36232701,36232652
36302039,36302039,36260521,36232701
36302055,36302039,36264323,36260521
36302055,36302055,36264388,36264323
36302071,36302055,36264454,36264388
36302071,36302071,36264503,36264454
36302088,36302071,36264536,36264503
36302088,36302088,36264568,36264536
36302088,36302088,36264617,36264568
36302104,36302088,36291487,36264617
36302104,36302104,36300384,36291487
36302120,36302104,36300433,36300384
36302137,36302120,36300515,36300433
36302137,36302137,36300564,36300515
36302153,36302137,36300580,36300564
36302153,36302153,36300630,36300580
36302170,36302153,36300711,36300630
36332824,36302170,36323485,36300711
36333070,36332824,36332414,36323485
36333086,36333070,36332464,36332414
36333103,36333086,36332546,36332464
36333103,36333103,36332595,36332546
36333168,36333103,36332627,36332595
36333168,36333168,36332677,36332627
36333234,36333168,36332709,36332677
36364822,36333234,36355975,36332709
36364871,36364822,36364412,36355975
36364871,36364871,36364494,36364412
36364888,36364871,36364544,36364494
36364888,36364888,36364593,36364544
36365068,36364888,36364609,36364593
36365101,36365068,36364658,36364609
36365215,36365101,36364691,36364658
36396558,36365215,36383041,36364691
36396574,36396558,36396296,36383041
36396574,36396574,36396312,36396296
36396591,36396574,36396328,36396312
36396591,36396591,36396328,36396328
36396591,36396591,36396345,36396328
36396591,36396591,36396345,36396345
36396640,36396591,36396361,36396345
36432553,36396640,36416448,36396361
36432570,36432553,36432324,36416448
36432570,36432570,36432340,36432324
36432586,36432570,36432340,36432340
36432586,36432586,36432357,36432340
36432652,36432586,36432357,36432357
36432652,36432652,36432373,36432357
36432652,36432652,36432373,36432373
36464568,36432652,36446758,36432373
36464584,36464568,36464371,36446758
36464584,36464584,36464388,36464371
36464584,36464584,36464388,36464388
36464601,36464584,36464404,36464388
36464617,36464601,36464404,36464404
36464617,36464617,36464420,36464404
36464633,36464617,36464420,36464420
36496533,36464633,36478756,36464420
36496549,36496533,36496287,36478756
36496566,36496549,36496320,36496287
36496599,36496566,36496320,36496320
36496615,36496599,36496336,36496320
36496615,36496615,36496336,36496336
36496680,36496615,36496353,36496336
36496697,36496680,36496353,36496353
36532611,36496697,36514818,36496353
36532627,36532611,36532348,36514818
36532643,36532627,36532381,36532348
36532643,36532643,36532381,36532381
36532643,36532643,36532398,36532381
36532725,36532643,36532414,36532398
36532725,36532725,36532414,36532414
36532725,36532725,36532430,36532414
36564641,36532725,36546996,36532430
36564674,36564641,36564363,36546996
36564690,36564674,36564396,36564363
36564690,36564690,36564396,36564396
36564690,36564690,36564412,36564396
36564690,36564690,36564428,36564412
36564690,36564690,36564445,36564428
36564756,36564690,36564477,36564445
36596525,36564756,36578600,36564477
36596541,36596525,36596295,36578600
36596541,36596541,36596312,36596295
36596541,36596541,36596312,36596312
36596557,36596541,36596328,36596312
36596574,36596557,36596328,36596328
36596639,36596574,36596328,36596328
36596656,36596639,36596344,36596328
36628555,36596656,36614449,36596344
36628572,36628555,36628310,36614449
36628572,36628572,36628326,36628310
36628572,36628572,36628342,36628326
36628572,36628572,36628342,36628342
36628572,36628572,36628359,36628342
36628588,36628572,36628359,36628359
36628604,36628588,36628375,36628359
36664567,36628604,36646955,36628375
36664584,36664567,36664338,36646955
36664666,36664584,36664371,36664338
36664666,36664666,36664371,36664371
36664682,36664666,36664387,36664371
36664682,36664682,36664403,36664387
36664682,36664682,36664420,36664403
36664682,36664682,36664436,36664420
36696811,36664682,36684244,36664436
36696860,36696811,36696418,36684244
36696877,36696860,36696467,36696418
36696893,36696877,36696549,36696467
36696893,36696893,36696598,36696549
36697073,36696893,36696631,36696598
36697106,36697073,36696664,36696631
36697122,36697106,36696713,36696664
36728776,36697122,36720044,36696713
36728825,36728776,36728416,36720044
36728875,36728825,36728465,36728416
36728924,36728875,36728530,36728465
36728989,36728924,36728580,36728530
36729006,36728989,36728612,36728580
36729120,36729006,36728662,36728612
36729153,36729120,36728694,36728662
36764739,36729153,36755695,36728694
36764772,36764739,36764329,36755695
36764788,36764772,36764379,36764329
36764788,36764788,36764379,36764379
36764788,36764788,36764542,36764379
36764788,36764788,36764559,36764542
36764788,36764788,36764575,36764559
36764788,36764788,36764575,36764575
36796540,36764788,36778780,36764575
36796557,36796540,36796344,36778780
36796557,36796557,36796360,36796344
36796573,36796557,36796360,36796360
36796590,36796573,36796377,36796360
36796606,36796590,36796377,36796377
36796606,36796606,36796393,36796377
36796622,36796606,36796393,36796393
36828506,36796622,36810582,36796393
36828522,36828506,36828276,36810582
36828538,36828522,36828293,36828276
36828538,36828538,36828293,36828293
36828555,36828538,36828309,36828293
36828571,36828555,36828309,36828309
36828571,36828571,36828325,36828309
36828588,36828571,36828325,36828325
36860454,36828588,36847560,36828325
36860471,36860454,36860274,36847560
36860536,36860471,36860291,36860274
36860536,36860536,36860307,36860291
36860536,36860536,36860307,36860307
36860536,36860536,36860323,36860307
36860536,36860536,36860340,36860323
36860553,36860536,36860340,36860340
36896532,36860553,36879050,36860340
36896548,36896532,36896270,36879050
36896548,36896548,36896286,36896270
36896548,36896548,36896303,36896286
36896581,36896548,36896303,36896303
36896581,36896581,36896319,36896303
36896598,36896581,36896319,36896319
36896598,36896598,36896319,36896319
36928546,36896598,36910442,36896319
36928563,36928546,36928301,36910442
36928563,36928563,36928317,36928301
36928579,36928563,36928333,36928317
36928579,36928579,36928333,36928333
36928595,36928579,36928350,36928333
36928612,36928595,36928350,36928350
36928694,36928612,36928350,36928350
36960561,36928694,36942866,36928350
36960577,36960561,36960282,36942866
36960593,36960577,36960315,36960282
36960593,36960593,36960331,36960315
36960593,36960593,36960348,36960331
36960610,36960593,36960413,36960348
36960626,36960610,36960446,36960413
36960643,36960626,36960462,36960446
36996524,36960643,36978796,36960462
36996556,36996524,36996327,36978796
36996556,36996556,36996343,36996327
36996573,36996556,36996343,36996343
36996573,36996573,36996376,36996343
36996605,36996573,36996392,36996376
36996605,36996605,36996425,36996392
36996638,36996605,36996442,36996425
37028770,36996638,37014254,36996442
37028819,37028770,37028360,37014254
37028835,37028819,37028426,37028360
37028835,37028835,37028524,37028426
37028884,37028835,37028557,37028524
37028917,37028884,37028590,37028557
37028966,37028917,37028639,37028590
37029147,37028966,37028721,37028639
37060817,37029147,37051576,37028721
37060866,37060817,37060424,37051576
37060882,37060866,37060473,37060424
37060899,37060882,37060555,37060473
37060948,37060899,37060604,37060555
37060964,37060948,37060637,37060604
37061014,37060964,37060669,37060637
37061063,37061014,37060719,37060669
37092798,37061063,37089440,37060719
37092848,37092798,37092372,37089440
37092848,37092848,37092422,37092372
37092897,37092848,37092504,37092422
37092913,37092897,37092553,37092504
37092930,37092913,37092585,37092553
37093028,37092930,37092618,37092585
37093044,37093028,37092667,37092618
37128876,37093044,37121372,37092667
37128909,37128876,37128450,37121372
37128925,37128909,37128516,37128450
37128925,37128925,37128581,37128516
37129073,37128925,37128630,37128581
37129089,37129073,37128663,37128630
37129105,37129089,37128712,37128663
37129236,37129105,37128745,37128712
37160858,37129236,37152190,37128745
37160907,37160858,37160464,37152190
37160923,37160907,37160514,37160464
37160940,37160923,37160595,37160514
37160940,37160940,37160645,37160595
37161071,37160940,37160677,37160645
37161103,37161071,37160710,37160677
37161136,37161103,37160759,37160710
37192856,37161136,37185696,37160759
37192905,37192856,37192413,37185696
37192921,37192905,37192462,37192413
37192937,37192921,37192544,37192462
37192937,37192937,37192593,37192544
37192954,37192937,37192626,37192593
37193101,37192954,37192675,37192626
37193118,37193101,37192708,37192675
37228802,37193118,37220184,37192708
37228884,37228802,37228425,37220184
37228900,37228884,37228474,37228425
37228917,37228900,37228556,37228474
37228966,37228917,37228605,37228556
37229064,37228966,37228638,37228605
37229130,37229064,37228671,37228638
37229195,37229130,37228720,37228671
37260833,37229195,37252805,37228720
37260882,37260833,37260456,37252805
37260898,37260882,37260505,37260456
37260964,37260898,37260587,37260505
37261079,37260964,37260620,37260587
37261095,37261079,37260653,37260620
37261177,37261095,37260702,37260653
37261242,37261177,37260734,37260702
37292765,37261242,37285130,37260734
37292831,37292765,37292421,37285130
37292945,37292831,37292470,37292421
37293011,37292945,37292552,37292470
37293093,37293011,37292601,37292552
37293142,37293093,37292618,37292601
37293224,37293142,37292667,37292618
37293273,37293224,37292700,37292667
37324698,37293273,37320323,37292700
37324763,37324698,37324370,37320323
37324780,37324763,37324419,37324370
37324861,37324780,37324501,37324419
37324911,37324861,37324550,37324501
37325091,37324911,37324567,37324550
37325107,37325091,37324616,37324567
37325107,37325107,37324698,37324616
37360759,37325107,37353058,37324698
37360808,37360759,37360415,37353058
37360873,37360808,37360464,37360415
37360939,37360873,37360529,37360464
37361070,37360939,37360579,37360529
37361086,37361070,37360611,37360579
37361103,37361086,37360660,37360611
37361250,37361103,37360742,37360660
37392822,37361250,37385187,37360742
37392888,37392822,37392429,37385187
37392888,37392888,37392478,37392429
37392904,37392888,37392593,37392478
37393052,37392904,37392626,37392593
37393084,37393052,37392658,37392626
37393101,37393084,37392691,37392658
37393265,37393101,37392740,37392691
37424706,37393265,37416546,37392740
37424771,37424706,37424329,37416546
37424837,37424771,37424378,37424329
37424853,37424837,37424460,37424378
37424984,37424853,37424509,37424460
37425017,37424984,37424525,37424509
37425033,37425017,37424574,37424525
37425066,37425033,37424624,37424574
37456818,37425066,37453640,37424624
37456867,37456818,37456425,37453640
37456949,37456867,37456474,37456425
37456982,37456949,37456540,37456474
37457031,37456982,37456589,37456540
37457162,37457031,37456622,37456589
37457179,37457162,37456671,37456622
37457195,37457179,37456720,37456671
37492552,37457195,37483672,37456720
37492584,37492552,37492306,37483672
37492584,37492584,37492322,37492306
37492650,37492584,37492339,37492322
37492666,37492650,37492339,37492339
37492666,37492666,37492355,37492339
